station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
06C,2021-01-01 07:15,-88.1012,41.9893,243.48,26.40,24.30,91.64,0.00,0.00,0.00,30.14,null,7.00,null,OVC,null,null,null,10000.00,null,null,null,null,null,null,null,null,null,null,null,K06C 011315Z AUTO 00000KT 7SM OVC100 M03/M04 A3014 RMK AO2 T10311043
06C,2021-01-01 07:35,-88.1012,41.9893,243.48,27.10,24.60,90.15,70.00,7.00,0.00,30.14,null,7.00,null,OVC,null,null,null,10000.00,null,null,null,null,null,null,null,null,null,null,18.81,K06C 011335Z AUTO 07007KT 7SM OVC100 M03/M04 A3014 RMK AO2 T10271041
06C,2021-01-01 07:55,-88.1012,41.9893,243.48,27.50,25.20,90.92,0.00,0.00,0.00,30.11,null,5.00,null,OVC,null,null,null,10000.00,null,null,null,null,null,null,null,null,null,null,null,K06C 011355Z AUTO 00000KT 5SM OVC100 M02/M04 A3011 RMK AO2 T10251038
06C,2021-01-01 08:15,-88.1012,41.9893,243.48,28.20,25.70,90.20,70.00,7.00,0.00,30.10,null,7.00,null,SCT,OVC,null,null,1000.00,10000.00,null,null,null,null,null,null,null,null,null,20.15,K06C 011415Z AUTO 07007KT 7SM SCT010 OVC100 M02/M03 A3010 RMK AO2 T10211035
06C,2021-01-01 08:35,-88.1012,41.9893,243.48,29.30,26.60,89.50,70.00,3.00,0.00,30.10,null,7.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,25.60,K06C 011435Z AUTO 07003KT 7SM OVC010 M01/M03 A3010 RMK AO2 T10151030
06C,2021-01-01 08:55,-88.1012,41.9893,243.48,29.80,27.00,89.16,70.00,3.00,0.00,30.10,null,7.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,26.17,K06C 011455Z AUTO 07003KT 7SM OVC010 M01/M03 A3010 RMK AO2 T10121028
06C,2021-01-01 09:15,-88.1012,41.9893,243.48,30.20,27.10,88.08,80.00,8.00,0.00,30.10,null,7.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,21.90,K06C 011515Z AUTO 08008KT 7SM OVC010 M01/M03 A3010 RMK AO2 T10101027
06C,2021-01-01 09:35,-88.1012,41.9893,243.48,30.60,27.30,87.38,70.00,6.00,0.00,30.09,null,7.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,23.84,K06C 011535Z AUTO 07006KT 7SM OVC010 M01/M03 A3009 RMK AO2 T10081026
06C,2021-01-01 09:55,-88.1012,41.9893,243.48,30.70,27.50,87.75,60.00,8.00,0.00,30.07,null,7.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,22.51,K06C 011555Z AUTO 06008KT 7SM OVC010 M01/M02 A3007 RMK AO2 T10071025
06C,2021-01-01 10:15,-88.1012,41.9893,243.48,31.10,27.90,87.77,60.00,7.00,0.00,30.07,null,7.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,23.68,K06C 011615Z AUTO 06007KT 7SM OVC010 00/M02 A3007 RMK AO2 T10051023
